scenario_label,scenario,time_index,tau,relative_day,q_value,prob_hosp,delay_hosp,prob_unsafe_funeral_comm,prob_unsafe_funeral_hosp,prob_unsafe_funeral_etu,prop_etu,ipc_helper
Worst_WestAfrica,Worst_WestAfrica,55,0.545455,194.727,0.484326,0.614812,4.078372,0.515674,0.015470,0.000000,0.435893,0.460109
Worst_WestAfrica,Worst_WestAfrica,56,0.555556,198.333,0.499156,0.624452,4.004219,0.500844,0.015025,0.000000,0.449241,0.474198
Worst_WestAfrica,Worst_WestAfrica,57,0.565657,201.939,0.513988,0.634092,3.930058,0.486012,0.014580,0.000000,0.462590,0.488289
Worst_WestAfrica,Worst_WestAfrica,58,0.575758,205.545,0.528796,0.643717,3.856021,0.471204,0.014136,0.000000,0.475916,0.502356
Worst_WestAfrica,Worst_WestAfrica,59,0.585859,209.152,0.543553,0.653309,3.782236,0.456447,0.013693,0.000000,0.489198,0.516375
Worst_WestAfrica,Worst_WestAfrica,60,0.595960,212.758,0.558234,0.662852,3.708831,0.441766,0.013253,0.000000,0.502410,0.530322
Worst_WestAfrica,Worst_WestAfrica,61,0.606061,216.364,0.572814,0.672329,3.635932,0.427186,0.012816,0.000000,0.515532,0.544173
Worst_WestAfrica,Worst_WestAfrica,62,0.616162,219.970,0.587268,0.681724,3.563660,0.412732,0.012382,0.000000,0.528541,0.557905
Worst_WestAfrica,Worst_WestAfrica,63,0.626263,223.576,0.601573,0.691023,3.492133,0.398427,0.011953,0.000000,0.541416,0.571495
Worst_WestAfrica,Worst_WestAfrica,64,0.636364,227.182,0.615708,0.700210,3.421462,0.384292,0.011529,0.000000,0.554137,0.584922
Worst_WestAfrica,Worst_WestAfrica,65,0.646465,230.788,0.629649,0.709272,3.351755,0.370351,0.011111,0.000000,0.566684,0.598167
Worst_WestAfrica,Worst_WestAfrica,66,0.656566,234.394,0.643378,0.718195,3.283112,0.356622,0.010699,0.000000,0.579040,0.611209
Worst_WestAfrica,Worst_WestAfrica,67,0.666667,238.000,0.656875,0.726969,3.215627,0.343125,0.010294,0.000000,0.591187,0.624031
Worst_WestAfrica,Worst_WestAfrica,68,0.676768,241.606,0.670123,0.735580,3.149386,0.329877,0.009896,0.000000,0.603110,0.636617
Worst_WestAfrica,Worst_WestAfrica,69,0.686869,245.212,0.683106,0.744019,3.084469,0.316894,0.009507,0.000000,0.614796,0.648951
Worst_WestAfrica,Worst_WestAfrica,70,0.696970,248.818,0.695810,0.752277,3.020948,0.304190,0.009126,0.000000,0.626229,0.661020
Worst_WestAfrica,Worst_WestAfrica,71,0.707071,252.424,0.708223,0.760345,2.958885,0.291777,0.008753,0.000000,0.637401,0.672812
Worst_WestAfrica,Worst_WestAfrica,72,0.717172,256.030,0.720333,0.768216,2.898337,0.279667,0.008390,0.000000,0.648299,0.684316
Worst_WestAfrica,Worst_WestAfrica,73,0.727273,259.636,0.732130,0.775884,2.839351,0.267870,0.008036,0.000000,0.658917,0.695523
Worst_WestAfrica,Worst_WestAfrica,74,0.737374,263.242,0.743606,0.783344,2.781968,0.256394,0.007692,0.000000,0.669246,0.706426
Worst_WestAfrica,Worst_WestAfrica,75,0.747475,266.848,0.754756,0.790591,2.726220,0.245244,0.007357,0.000000,0.679280,0.717018
Worst_WestAfrica,Worst_WestAfrica,76,0.757576,270.455,0.765574,0.797623,2.672132,0.234426,0.007033,0.000000,0.689016,0.727295
Worst_WestAfrica,Worst_WestAfrica,77,0.767677,274.061,0.776056,0.804436,2.619722,0.223944,0.006718,0.000000,0.698450,0.737253
Worst_WestAfrica,Worst_WestAfrica,78,0.777778,277.667,0.786200,0.811030,2.569000,0.213800,0.006414,0.000000,0.707580,0.746890
Worst_WestAfrica,Worst_WestAfrica,79,0.787879,281.273,0.796005,0.817404,2.519973,0.203995,0.006120,0.000000,0.716405,0.756205
Worst_WestAfrica,Worst_WestAfrica,80,0.797980,284.879,0.805473,0.823557,2.472637,0.194527,0.005836,0.000000,0.724925,0.765199
Worst_WestAfrica,Worst_WestAfrica,81,0.808081,288.485,0.814603,0.829492,2.426987,0.185397,0.005562,0.000000,0.733142,0.773872
Worst_WestAfrica,Worst_WestAfrica,82,0.818182,292.091,0.823398,0.835209,2.383010,0.176602,0.005298,0.000000,0.741058,0.782228
Worst_WestAfrica,Worst_WestAfrica,83,0.828283,295.697,0.831862,0.840711,2.340688,0.168138,0.005044,0.000000,0.748676,0.790269
Worst_WestAfrica,Worst_WestAfrica,84,0.838384,299.303,0.840000,0.846000,2.300000,0.160000,0.004800,0.000000,0.756000,0.798000
Worst_WestAfrica,Worst_WestAfrica,85,0.848485,302.909,0.847816,0.851080,2.260922,0.152184,0.004566,0.000000,0.763034,0.805425
